k,n_classes,batch_size,n_trials,tau,cuda,alg,forward,mean,std
100,10000,256,50,None,True,lml,1,0.05931525707244873,0.0012086223409033656
100,10000,256,50,1.0,True,dac_ad,0,9.199011311531066,0.15855925751163455
100,10000,256,50,1.0,True,dac_md,0,0.6901128101348877,0.0011988910610617677
100,10000,256,50,None,True,lml,0,0.008287425041198731,0.00016292668489732384
100,10000,256,50,1.0,False,sum,1,1.5967964553833007,0.013870848342399222
100,10000,256,50,1.0,False,dac_md,1,3.6211729860305786,0.006923871554243254
100,10000,256,50,None,False,lml,1,1.0348492813110353,0.006889847612784763
100,10000,256,50,1.0,False,dac_ad,0,7.6699764442443845,0.11882435598608566
100,10000,256,50,1.0,False,dac_md,0,60.36388990879059,0.3448786579943938
100,10000,256,50,None,False,lml,0,0.04889639854431152,0.0027548573161115916
5,1000,256,50,None,True,entr,1,0.0001746988296508789,1.928791923139259e-05
5,1000,256,50,None,True,entr,0,0.00026115894317626956,8.30732429391003e-05
5,1000,256,50,None,False,entr,1,0.011701955795288085,0.001235667837921992
5,1000,256,50,None,False,entr,0,0.0015419578552246093,0.0012974134612662319
50,1000,256,50,None,True,entr,1,0.0001735401153564453,1.928814497790012e-05
50,1000,256,50,None,True,entr,0,0.00026087284088134767,8.085632363025321e-05
50,1000,256,50,None,False,entr,1,0.012108302116394043,0.00026142754186810323
50,1000,256,50,None,False,entr,0,0.0011415386199951172,0.0012417427364038616
100,1000,256,50,None,True,entr,1,0.00017392158508300782,2.0685459731491976e-05
100,1000,256,50,None,True,entr,0,0.00026763439178466796,9.966072521299811e-05
100,1000,256,50,None,False,entr,1,0.011706161499023437,0.001565703262322546
100,1000,256,50,None,False,entr,0,0.0014214801788330078,0.0010278296184359278
5,10000,256,50,None,True,entr,1,0.008097491264343261,0.00021287616487365466
5,10000,256,50,None,True,entr,0,0.0005453968048095703,5.0674020326986035e-05
5,10000,256,50,None,False,entr,1,0.14770100116729737,0.003366363225916703
5,10000,256,50,None,False,entr,0,0.014382200241088867,0.005813903255300804
50,10000,256,50,None,True,entr,1,0.007663345336914063,4.9951668197731104e-05
50,10000,256,50,None,True,entr,0,0.0005495119094848633,5.16783407832663e-05
50,10000,256,50,None,False,entr,1,0.14866331100463867,0.004458831050686987
50,10000,256,50,None,False,entr,0,0.01421170711517334,0.005837615772739018
100,10000,256,50,None,True,entr,1,0.007671704292297363,5.180771998905775e-05
100,10000,256,50,None,True,entr,0,0.0005459165573120117,4.541822768596522e-05
100,10000,256,50,None,False,entr,1,0.14748528003692626,0.003216906158855994
100,10000,256,50,None,False,entr,0,0.014458341598510742,0.005451822496595535
